accession	samples	platform	citation	link
PRJEB83983	83 WWTPs, 53,501 MAGs	ONT PromethION	Liu et al., bioRxiv 2026	doi.org/10.64898/2026.07.10.737647
PRJEB58634	154	ONT PromethION	Sereika et al., Nat Microbiol 2025	doi.org/10.1038/s41564-025-02062-z
PRJNA763692	180 (60x3 timepoints)	ONT PromethION + Illumina	Jin et al., Nat Microbiol 2023	doi.org/10.1038/s41564-022-01270-1
PRJNA689363	24	PacBio SMRT	no publication	ncbi.nlm.nih.gov/bioproject/PRJNA689363
PRJDB12736	24	ONT GridION + MGI DNBSEQ	Okazaki et al., mSystems 2022	doi.org/10.1128/msystems.00433-22
PRJNA651859	1	PacBio RS II	no publication	ncbi.nlm.nih.gov/bioproject/PRJNA651859
PRJEB42267	102	ONT MinION + Illumina	Varliero et al., FEMS Microbiol Ecol 2021	doi.org/10.1093/femsec/fiab127
PRJNA1207694	55	PacBio Sequel II	Ni et al., Cell Host Microbe 2026	doi.org/10.1016/j.chom.2026.04.019
PRJNA998863	1	ONT MinION+PromethION + Illumina	Lui & Nielsen, mSystems 2024	doi.org/10.1128/msystems.00242-24
PRJEB89893	1, 7 runs	ONT PromethION R9 + Illumina	Bağcı et al., GigaScience 2025	doi.org/10.1093/gigascience/giaf135
PRJNA1139951	47 initial / 210 expanded	PacBio Revio + ONT + Illumina	Minich et al., Cell 2025	doi.org/10.1016/j.cell.2025.08.020
PRJEB29504	2 mock communities, 4 runs	ONT GridION+PromethION R9.4.1	Nicholls et al., GigaScience 2019	doi.org/10.1093/gigascience/giz043
PRJNA1201851	66 (33x2 stations)	PacBio Revio + Illumina	Tucker et al., Sci Data 2025	doi.org/10.1038/s41597-025-06166-3
PRJNA1126655	35	ONT	no publication	ncbi.nlm.nih.gov/bioproject/PRJNA1126655
PRJEB81413	273	ONT GridION	Govender et al., Lancet Microbe 2026	doi.org/10.1016/j.lanmic.2025.101333
PRJEB74343	44	ONT PromethION	Heidelbach et al., bioRxiv 2024 (preprint)	doi.org/10.1101/2024.04.29.591623
PRJNA717332	2	PacBio Sequel	Li et al., Cell Death Dis 2021	doi.org/10.1038/s41419-021-03829-y
PRJNA1310651	24	PacBio Revio	Bowie et al., Research Square 2025 (preprint)	doi.org/10.21203/rs.3.rs-7888495/v1
PRJNA743701	3	PacBio RS II + Illumina + ONT	Wang et al., Front Mar Sci 2021	doi.org/10.3389/fmars.2021.754332
PRJNA798244	1	PacBio Sequel II	Kim et al., Nat Commun 2022	doi.org/10.1038/s41467-022-34149-0
PRJEB86780	340	ONT PromethION	no publication	ebi.ac.uk/ena/browser/view/PRJEB86780
PRJNA1283500	8	unconfirmed	no publication	ncbi.nlm.nih.gov/bioproject/PRJNA1283500
PRJEB56100	60	ONT MinION + Illumina	Nilgiriwala et al., J Clin Microbiol 2023	doi.org/10.1128/jcm.01578-22
PRJNA893826	1	PacBio Sequel II	no publication	ncbi.nlm.nih.gov/bioproject/PRJNA893826
PRJNA1260441	20	ONT	Akpulu et al., The Microbe 2025	doi.org/10.1016/j.microb.2025.100398
PRJNA862336	26	ONT MinION R9.4.1	Ulrich et al., mSystems 2024	doi.org/10.1128/msystems.00945-23
PRJNA723028	1	ONT MinION + Illumina	Galata et al., Brief Bioinform 2021	doi.org/10.1093/bib/bbab330
PRJDB17221	106	Illumina + PacBio Sequel II	Takewaki et al., Cell Rep 2024	doi.org/10.1016/j.celrep.2024.114785
PRJNA1052403	23	PacBio SMRT	no publication	ncbi.nlm.nih.gov/bioproject/PRJNA1052403
PRJNA1220977	1	PacBio	no publication	ncbi.nlm.nih.gov/bioproject/PRJNA1220977
